epoch,fluid_loss,contact,constraint,net_loss
0,42.22480380861365,141.41787890667132,-0.8683825988462324,44.606310637242366
1,43.80844941372784,136.28145988461267,-0.8005213355081606,4.772013360247716
2,38.12448971874196,130.55209038343813,-0.7248261379764582,5.667345917919594
3,26.15188201024442,124.54184846041878,-0.6454201144195901,6.061747515919626
4,25.419290125991118,123.06872482425538,-0.6259575217896074,7.046504554671964
5,27.589774886210773,121.87157608080796,-0.6101410500833393,8.119146602545499
6,27.55942943292297,121.30831356279481,-0.6026993468462785,9.24503845491705
7,27.571435265765686,119.70323239492836,-0.5814933596898979,10.16088643356359
8,26.529616398578067,117.63646765043885,-0.5541877084217051,10.865513431042126
9,25.8823363723212,115.14788144966711,-0.521309042801785,11.349683826688517
10,23.960870195375865,114.45478074535058,-0.5121519453739012,12.207288425762183
11,22.83670959970026,112.35046024585456,-0.4843501155483494,12.598900480240374
12,21.493766027663327,111.05115191835077,-0.46718393339081477,13.14978017709961
13,21.926982613879986,111.64668146054129,-0.4750519416110621,14.437443351544763
14,22.662592767980442,110.17172019843524,-0.45556507066237595,14.94301806894112
15,22.83347302059129,109.56771715528474,-0.44758511236999254,15.740231713508827
16,21.15283203569919,107.69033249063993,-0.4227815099833523,15.841847968041396
17,21.070102983133783,106.62366730200404,-0.408688958937826,16.278952141124595
18,20.347872616480544,106.63358810776961,-0.4088200304897558,17.225840705205837
19,20.063797387086094,106.33240242752846,-0.4048408300637927,18.039045692343954
20,19.903559604702956,105.24877923018633,-0.3905242334547012,18.37782585406661
21,18.810462772785243,103.66654829424652,-0.369620138647728,18.289718333885634
22,18.233681564789627,102.46482590995183,-0.35374324098232046,18.35525516596462
23,17.8359653222811,102.28571981624444,-0.3513769297958045,19.06520437025578
24,18.225399130278873,102.28939675707002,-0.35142550874712675,19.94552756221665
25,18.070896121924577,100.04252538506191,-0.3217403274549069,19.089881440019596
26,17.52936009228003,98.7255827651617,-0.3043411648191532,18.78007707207188
27,17.282201543948304,97.9834136203688,-0.2945357857097213,18.859750952532053
28,16.731022222627875,96.9604274525686,-0.2810203124926489,18.637541749632348
29,16.843809739582277,96.76697006554505,-0.2784643951056289,19.10538399056338
30,16.54379845310462,95.87159976102258,-0.26663495522555936,18.90988888427945
31,17.338612829930952,95.61063127596508,-0.26318709573213206,19.295483699857275
32,17.235671854522298,95.08232469899093,-0.25620722286947983,19.374401348786602
33,16.86721340568903,94.18657932019154,-0.24437282758873757,19.039515607006066
34,16.077867933120352,93.00962503886002,-0.2288231607723612,18.332005145694314
35,15.957536091899389,92.82694229750582,-0.22640959568642915,18.6209114210727
36,15.9675788031903,92.87791565481861,-0.22708304471949536,19.164789513992247
