epoch,fluid_loss
0,16.833609835586746
1,16.435874389319167
2,16.257241711935475
3,16.193136817275594
4,16.146521496042165
5,16.119498660042233
6,16.09909795087738
7,16.084684395533415
8,16.080337642242164
9,16.074690239477455
10,16.073051391843524
11,16.07152453943598
12,16.07081975356428
13,16.070468372764285
14,16.069151717494385
15,16.069958085454434
16,16.069013410568964
17,16.069580899353433
18,16.069239765880724
19,16.06869339753316
20,16.06843282051153
21,16.068530858259454
22,16.06860601577951
23,16.06785127471797
24,16.068597723411497
25,16.068558114943045
26,16.06823035922783
27,16.06792588610689
28,16.06888025641882
29,16.068332476613378
30,16.068219983590396
31,16.068338261420124
32,16.06769062157077
33,16.067689667758813
34,16.068111872557605
35,16.067994898600983
36,16.06788603865854
37,16.068018921787854
38,16.067582482498167
39,16.067664403684326
40,16.067623444546044
41,16.06760532804084
42,16.06769536290052
43,16.067567991915126
44,16.06774033897772
45,16.067636526965167
46,16.067591662736007
47,16.067623342985236
48,16.067481071910468
49,16.067502434499318
50,16.06738698795047
51,16.06755187273764
52,16.06741892829366
53,16.06765690501485
54,16.067762556383506
55,16.06733433742336
56,16.06755785526423
57,16.06742820423412
58,16.067609773546597
59,16.067688813631733
60,16.067500021078757
61,16.06751154700539
62,16.067594593348495
63,16.067354138861837
64,16.067730726795833
65,16.06759044288766
66,16.06739571150154
67,16.06737982653851
68,16.067587597274347
69,16.067585764904685
70,16.067429391603937
71,16.067484249079506
72,16.067390839260028
73,16.06733142033972
74,16.06747376170569
75,16.067379118150438
76,16.06742765562407
77,16.067377777707463
78,16.06742347962792
79,16.06732862738526
80,16.067518643874266
81,16.067411545816768
82,16.06744091522493
83,16.067344359001048
84,16.06751258643312
85,16.067415507720085
86,16.067432640936136
87,16.067368881919595
88,16.067447727577473
89,16.06736933647304
90,16.067441708172893
91,16.067368062994486
92,16.067427135947
93,16.06734955371892
94,16.067436230606752
95,16.06734639455541
96,16.067446893511164
97,16.06735413218038
98,16.067437987298895
99,16.06733862272067
100,16.067459820756657
101,16.067363091709428
102,16.067429346877088
103,16.067338191942678
104,16.067452609010687
105,16.067353375462524
106,16.067444059093468
107,16.067360331143547
108,16.06742914179757
109,16.06734616560937
110,16.067442565547136
111,16.067359763212913
112,16.06742798276147
113,16.067358307818385
114,16.067413717703822
115,16.067340315339912
116,16.0674314954759
117,16.067358785739785
118,16.067402047942295
119,16.06732946658393
120,16.06742570632882
121,16.067343195766213
122,16.067413649760542
123,16.067329113652804
124,16.06743128615215
125,16.06735461677721
126,16.06739985548353
127,16.067334607704428
128,16.067418005927173
129,16.067355617514032
130,16.067390634138064
131,16.06733922591696
132,16.06739798981417
133,16.0673481295298
134,16.06738063681225
135,16.067331255444213
136,16.06739539745477
137,16.06735243079002
138,16.067360344047867
139,16.067316024214154
140,16.067399940224306
141,16.067355648956685
142,16.067349455951828
143,16.06730883797818
144,16.067400727720546
145,16.06735924945229
146,16.06733775378912
147,16.067294932409734
148,16.067414271793794
149,16.067374601972926
150,16.067316633997983
151,16.06728288478337
152,16.067413889998633
153,16.067368095208195
154,16.067320885686286
155,16.067286524013937
156,16.067407660372915
157,16.06736618394914
158,16.067315682977252
159,16.06728025998098
160,16.067407266204405
161,16.067361586687433
162,16.067321254468727
163,16.067288122773064
164,16.067397296984634
165,16.06735678334236
166,16.067318868943467
167,16.06728640023619
168,16.067395544569425
169,16.067357035975245
170,16.06731615223744
171,16.067282390534515
172,16.067399778673575
173,16.067362141036934
174,16.067305479410898
175,16.067274141783436
176,16.067382828772455
177,16.06732820333803
178,16.06735304012951
179,16.067327630724954
180,16.067325777000693
181,16.067287472600015
182,16.06738814845024
183,16.067350659470442
184,16.06731080615119
185,16.067279397817128
186,16.067386252060253
187,16.067343861341094
188,16.067319505795027
189,16.067294107872808
190,16.06736117180447
191,16.06732115654953
192,16.06733992508247
193,16.067314671802855
194,16.06733218221067
195,16.06729689759139
196,16.06736452455026
197,16.067337154290517
198,16.067309221076584
199,16.067278874084536
200,16.067369904277612
201,16.06733082618625
202,16.067321424455486
203,16.067295587117272
204,16.067352408254344
205,16.067320493264635
206,16.067325242063454
207,16.06729681056069
208,16.067350373169443
209,16.06732119002684
210,16.067321998338507
211,16.067294320410248
212,16.06735284773027
213,16.067327940656092
214,16.067309744881502
215,16.067285303928443
216,16.067351552804855
217,16.06731905288881
218,16.067324298290714
219,16.06730370283088
220,16.06733398730058
221,16.067309948441146
222,16.067326724993002
223,16.067302909461798
224,16.06733504750769
225,16.067313446487034
226,16.067316219620473
227,16.067290663974237
228,16.06734308096569
229,16.067316596005675
230,16.067314111054092
231,16.067288742037647
232,16.067333721935768
233,16.067298666391014
234,16.067341296868083
235,16.067314472002032
236,16.067313517473284
237,16.067284373748336
238,16.06732431499576
239,16.067275890989208
240,16.067329320040294
241,16.06728178600764
242,16.067331628732045
243,16.0672893201057
244,16.067332572367082
245,16.06730147324304
246,16.067319144415173
247,16.067289284043415
248,16.067315635159826
249,16.067277359871
250,16.067307424261088
251,16.067255729837257
252,16.06729531731713
253,16.067233444178598
254,16.06728105316935
255,16.06721928794325
256,16.06726545285665
257,16.067211422435307
258,16.067251537683624
259,16.067206052752027
260,16.06723868578692
261,16.067202907063567
262,16.067227984869042
263,16.06720050667355
264,16.067218852915826
265,16.06719868176283
266,16.06721158762739
267,16.067197061296667
268,16.06720564128326
269,16.06719548628284
270,16.067200974262512
271,16.06719407687661
272,16.067197270150167
273,16.067192661036586
274,16.06719435647207
275,16.067191332329635
276,16.067192091739535
277,16.067190071149902
278,16.06719041521169
279,16.067188903764645
280,16.067189162386295
281,16.06718771833968
282,16.06718827065753
283,16.06718663414925
284,16.06718764765449
285,16.06718561166732
286,16.067187146743905
287,16.06718474099924
288,16.06718668370794
289,16.06718408604643
290,16.067186192788547
291,16.06718364438315
292,16.067185631534727
293,16.06718341880848
294,16.067184996882045
295,16.06718335948736
296,16.067184343655647
297,16.067183380623295
298,16.067183728089553
299,16.067183401240026
300,16.06718321723446
