epoch,fluid_loss,contact,constraint,net_loss
0,42.224803788570725,141.4178788901959,-0.8683825986285627,44.606310616413474
1,43.80844925926003,136.2814600808619,-0.8005213381009633,4.772013371077442
2,38.124490659316606,130.55209093579649,-0.724826145274098,5.6673459992198145
3,26.151880508835994,124.54184721649708,-0.6454200979851643,6.0617473435666405
4,25.419290449005196,123.06872469541491,-0.6259575200873948,7.046504530988046
5,27.589781872390223,121.87156964490205,-0.610140965053535,8.119145645122641
6,27.55943246881314,121.30831397773233,-0.6026993523283437,9.245038428806339
7,27.571428039301296,119.70322615979705,-0.5814932773126842,10.160884657312458
8,26.529615462425056,117.63645429455912,-0.5541875319666947,10.86550966907382
9,25.882324143247317,115.14786482521912,-0.521308823163154,11.349678142085176
10,23.96080553570335,114.45471286090559,-0.5121510484992151,12.207264445041691
11,22.836601802491632,112.35021920104865,-0.4843469309162194,12.598812764482817
12,21.49482781138157,111.05253621631658,-0.4672022224377934,13.150310711260571
13,21.89156524449652,111.64851470625314,-0.4750761620590982,14.437201924555422
14,22.60107566745402,110.23450109589307,-0.45639451837618017,14.968283643293042
15,22.056140817326565,109.34204422285741,-0.4446035701262705,15.615730612277398
16,21.388906502789354,108.23678784332256,-0.4300011605670837,16.112731514992713
17,20.977148799924674,107.69213713360858,-0.42280535253809726,16.84472757903545
18,20.550326289404417,105.36923481412624,-0.3921156667211818,16.578207967597123
19,19.918906488224366,105.26628123585135,-0.39075546618907864,17.4172281215989
20,19.17468752741221,104.54360304902809,-0.3812075974240732,17.89270101331323
21,18.25205870862212,102.23542801944762,-0.35071248539367983,17.30160160290371
22,17.45718149961864,101.01115276242597,-0.3345376240246527,17.262220981592574
23,17.350603731214974,100.25206712020076,-0.3245087477896784,17.48761715121817
24,17.752688177514862,99.14175750178265,-0.30983957592525635,17.428557562419417
25,17.253247742757356,97.96678374735271,-0.29431607540431637,17.212104339898037
26,16.966319829449372,97.20712909600547,-0.28427968154320893,17.248271207138828
