area_target,best_seed,selection_basis,decoder_dissipated_power,decoder_contact_area,shapely_contact_posthoc,final_constraint,elapsed_seconds_sum
50.0,11,feasible,46.76681062848739,49.353624218752806,45.86473772714176,0.012927515624943875,545.7660787440004
60.0,77,feasible,50.70978290590884,59.21009232766548,56.3540240971233,0.013165127872242,546.8490614709999
70.0,7,feasible,54.423768786101114,67.17210203796631,67.81213394969936,0.04039854231476703,557.9929715010003
80.0,11,feasible,74.67618901830065,76.89964261611553,74.17463358654318,0.03875446729855592,551.395661431
