area_target,seed,J,contact,shapely,constraint
50.0,77,50.015912037728796,50.460393822594426,48.0448183371075,-0.009207876451888586
50.0,11,46.76681062848739,49.353624218752806,45.86473772714176,0.012927515624943875
50.0,42,58.2057758124492,50.1845706136134,48.25471593810804,-0.003691412272267991
50.0,123,119.28227772052873,51.85715153687061,50.64710591088574,-0.0371430307374121
50.0,7,60.73053729411935,51.97786946102477,50.944867077503574,-0.03955738922049523
60.0,77,50.70978290590884,59.21009232766548,56.3540240971233,0.013165127872242
60.0,11,55.41569734773242,58.89197886190385,58.150619981939734,0.01846701896826919
60.0,42,69.6612263872312,61.935090388792915,60.50515115714524,-0.03225150647988184
60.0,123,78.73337344852169,62.568211473868416,60.606278023859176,-0.04280352456447356
60.0,7,62.782935385398986,60.8063102948858,59.721935411367454,-0.013438504914763394
70.0,77,86.79369787179829,75.58286489679713,74.19712002644106,-0.07975521281138764
70.0,11,70.40607914538795,68.7519673061863,66.84911764824434,0.01782903848305284
70.0,42,66.63983981345592,67.57723572398967,66.89652589715644,0.03461091822871898
70.0,123,98.1744278843523,66.5788819421145,64.93668375908351,0.04887311511264991
70.0,7,54.423768786101114,67.17210203796631,67.81213394969936,0.04039854231476703
80.0,77,106.37542968186293,82.67609306926238,80.06688952028644,-0.03345116336577969
80.0,11,74.67618901830065,76.89964261611553,74.17463358654318,0.03875446729855592
80.0,42,75.16708292840082,73.41728720139346,69.49189345659218,0.08228390998258173
80.0,123,162.82052294650032,85.48312810252536,83.62054577646488,-0.06853910128156704
80.0,7,93.02161240792022,82.96082924171606,82.07228668478419,-0.03701036552145065
