area_target,seed,J,contact,shapely,constraint
50.0,77,55.10380978965789,48.7461656886203,46.83098287803733,0.02507668622759396
50.0,11,50.42800341649731,49.21698823944373,47.64916762423146,0.015660235211125362
50.0,42,57.30962108283357,49.407643279297105,45.613059279093676,0.011847134414057936
50.0,123,120.62617359689563,52.198894684501184,50.59814015856071,-0.043977893690023695
50.0,7,57.57770680441537,47.5002699960736,44.97881733214146,0.04999460007852807
60.0,77,62.7199477448869,59.29245496248947,57.69649620686615,0.011792417291842106
60.0,11,49.1798967864019,61.93243903988798,60.03935295605178,-0.03220731733146631
60.0,42,53.69970088864914,57.42071192851943,56.88369564515834,0.0429881345246762
60.0,123,116.30449401313216,62.405502946717085,59.96987789517392,-0.04009171577861803
60.0,7,55.76537892289063,59.37900285759427,58.738163862099896,0.010349952373428839
70.0,77,56.46271586083118,69.38215814610425,66.48259234508077,0.008826312198510822
70.0,11,57.70011954810486,72.32081984232198,68.2901037302554,-0.033154569176028215
70.0,42,68.30921499667711,69.53074140516692,67.50061153134178,0.00670369421190109
70.0,123,113.92734563693477,71.40221816214327,68.31697808318495,-0.020031688030618167
70.0,7,61.3183343467078,70.81572232463056,68.30252505676526,-0.011653176066150905
80.0,77,81.45839659733346,80.04254272644539,78.49426823707809,-0.0005317840805674212
80.0,11,101.47679289528718,81.541211927565,79.86195343458431,-0.01926514909456256
80.0,42,95.295782274951,77.92143308042868,75.39147770458867,0.0259820864946414
80.0,123,95.21235499453651,85.53556786472069,84.74242045008604,-0.06919459830900854
80.0,7,105.1211836830502,83.02247487752155,81.75316561196311,-0.037780935969019325
