epoch,fluid_loss,contact,constraint,net_loss
0,332.40055362756283,81.84466168029854,-0.6368932336059709,333.61899342199524
1,421.4459249497913,82.33656801109797,-0.6467313602219593,3.4595130438136525
2,245.91009267971563,78.96562031935414,-0.5793124063870829,3.582962754591695
3,218.75126382233145,77.97516821963748,-0.5595033643927496,4.274405380971017
4,213.5580368250576,75.82741796458977,-0.5165483592917954,4.799393420374253
5,207.04932895039707,74.05214079559471,-0.48104281591189424,5.250355659626608
6,184.95401749931688,69.78390174170082,-0.3956780348340163,4.9487562480877765
7,226.4222223595945,69.46822660204276,-0.3893645320408552,5.560880631675198
8,239.34592921784866,69.66413738304593,-0.3932827476609184,6.231149124146911
9,206.89236820114309,70.3481521006366,-0.4069630420127319,6.956176953474148
10,214.0139392050585,69.25336114256812,-0.3850672228513625,7.279428194181907
11,205.6435287453858,68.82369984881326,-0.37647399697626516,7.731222446353576
12,194.65818970472628,68.33131283757184,-0.3666262567514369,8.13302906011865
13,185.26822838994474,67.75343275281755,-0.3550686550563509,8.4783495045088
14,189.19228659669082,67.5909691273337,-0.3518193825466738,9.041715508056331
15,189.10090332395902,67.23216060231853,-0.3446432120463705,9.494083590482372
16,187.8808227883982,67.09700753465964,-0.3419401506931927,10.053564529774452
17,179.16984866306032,66.30719394768188,-0.3261438789536377,10.198712738129801
18,177.52448973719214,66.79799708817436,-0.3359599417634871,11.124038920925445
19,177.43654857498507,66.24551640174286,-0.3249103280348573,11.424853207359423
20,176.45647321656094,66.2825944506842,-0.3256518890136839,12.102504033154752
21,181.97517651986058,65.55742118288161,-0.3111484236576323,12.251748253777235
22,178.93462060650967,65.49672367832609,-0.30993447356652193,12.830062971851756
23,174.88355198692463,65.18518558727162,-0.3037037117454324,13.204531938800866
24,173.6436296860268,63.942666783323716,-0.2788533356664744,12.74886230068202
25,180.52599323978154,64.82346067388069,-0.2964692134776137,14.152899080108552
26,179.60381287584391,64.01386357590299,-0.2802772715180597,14.017090940517338
27,175.2482686289734,63.543609750668494,-0.2708721950133699,14.122603435362697
28,164.410726416317,62.62318900469728,-0.25246378009394554,13.685049639006944
29,157.62401778804593,62.681058982718454,-0.25362117965436903,14.231431054077246
30,160.0994294943627,62.35745077529387,-0.2471490155058773,14.409304769318796
31,161.05048272172957,63.180663711701044,-0.2636132742340209,15.894060478300444
32,154.89756743405826,62.45764633351555,-0.24915292667031097,15.58705912647021
33,166.6772562018259,63.41603740084163,-0.2683207480168326,17.40032019007196
34,166.55945415155713,63.2749242672985,-0.2654984853459701,17.864254324068547
35,172.40218286420935,63.847785507286076,-0.2769557101457216,19.320759618153556
36,176.47701924764488,63.40780438555241,-0.26815608771104826,19.43997779841429
37,172.4846153564602,63.715626907888144,-0.2743125381577629,20.560062575641627
38,154.67268887842113,62.57923930748338,-0.2515847861496676,19.487344033784225
39,159.24030049602322,63.144331830726216,-0.2628866366145244,21.029818556153156
40,162.66764362866377,62.953658461984304,-0.25907316923968615,21.444744973305756
41,170.6945953100948,62.141318379437685,-0.24282636758875364,20.8274198365924
42,171.4192544233115,61.32594185403957,-0.22651883708079135,20.054806835761166
43,163.55475658280108,61.142686094269585,-0.22285372188539165,20.245254075636353
44,154.58828299632597,61.05403224329487,-0.2210806448658973,20.585961190039374
45,151.4033224552919,60.87794055247164,-0.21755881104943287,20.79179782111417
46,150.15537583479318,61.05185057383074,-0.22103701147661492,21.660891989584464
47,153.84005410052723,61.10105375209914,-0.22202107504198287,22.347335384303495
48,152.14426263696612,60.356841409749705,-0.20713682819499413,21.422734004445967
49,150.77208233957612,60.4182748423436,-0.208365496846872,22.059979994566547
50,148.18638927358762,60.27815228702949,-0.20556304574058992,22.282333533815898
51,150.889164803808,60.47748055578552,-0.20954961111571047,23.25621530288997
52,146.07772179989308,59.47370596403001,-0.1894741192806002,21.561076786971025
53,146.002312666944,59.1652532210872,-0.183305064421744,21.326759593597856
54,148.23307936350386,59.40547676648323,-0.18810953532966468,22.33474645487321
55,146.51913143242263,59.39362708845797,-0.18787254176915935,22.76713501155126
56,142.94756405816986,58.431003476779324,-0.1686200695355864,20.906206483231767
57,146.0694720575172,59.27611268535237,-0.18552225370704756,23.387667793558347
58,144.8122931053776,59.62462350246385,-0.19249247004927694,24.73164841987903
59,141.96413018165316,59.48222752621591,-0.18964455052431806,24.871537492931473
60,141.33652907291565,59.086518018398195,-0.18173036036796386,24.347570921024566
61,147.73083349053,59.287232229455384,-0.18574464458910778,25.399863750189894
62,150.25966376235985,58.73968711480502,-0.17479374229610034,24.432037887775316
63,148.16400838920106,58.227930370680546,-0.16455860741361095,23.456587908049613
64,150.92628834494047,59.13230689565501,-0.18264613791310036,26.42947883839686
65,150.9220988448402,58.658935578171395,-0.1731787115634278,25.576211206868123
66,156.0689635583144,59.29256320957682,-0.1858512641915364,27.92552047476829
67,154.09713007946343,58.644633473788915,-0.1728926694757782,26.515911925544344
68,152.98612818165213,58.46903671572737,-0.16938073431454748,26.44722433898256
69,153.1450356617334,57.92414893473622,-0.15848297869472439,25.223227201673343
70,155.82989998386273,58.662624693894614,-0.17325249387789232,27.966993422563725
71,154.78113079071954,58.26440092203586,-0.16528801844071728,27.1769746733676
72,148.82094772885182,58.62762525621831,-0.17255250512436615,28.774517227116917
73,148.44112039845055,58.478932746766255,-0.1695786549353251,28.7800444528783
74,142.75348236319596,57.32116360203292,-0.14642327204065841,25.335828953348525
75,143.49597386694614,57.531491615113886,-0.15062983230227767,26.429813368506984
76,140.28649454110746,57.54162229734288,-0.15083244594685774,26.8413747691102
77,136.20702998032107,57.17168490079997,-0.14343369801599937,25.91665662128293
78,135.97038968433236,57.480506348590254,-0.1496101269718051,27.3874151172345
79,138.59776999465942,57.48278372183957,-0.1496556744367914,27.818882521890988
80,144.67789391710807,57.37356224677018,-0.14747124493540364,27.86666190179515
81,136.60465896956816,57.08386800261984,-0.14167736005239684,27.13386409043767
82,134.49774221273765,56.55409121733046,-0.1310818243466092,25.49309392931779
83,133.08603301248252,56.612893423452114,-0.1322578684690423,26.035509050848706
84,132.37051926759995,56.181607898230496,-0.12363215796461002,24.694401433895703
85,136.29620603853454,56.50574838976214,-0.1301149677952429,26.29010483449897
86,135.31522968487351,56.000284927061735,-0.12000569854123477,24.6054320219084
87,141.03986083895904,56.92452934456365,-0.13849058689127314,28.647485985554077
88,135.8990526925392,56.41130262591441,-0.12822605251828811,26.899230508462313
89,135.41778887291653,56.2295201160515,-0.12459040232103002,26.476529957026063
90,136.68611298282036,56.2683524585876,-0.125367049171752,26.96319017260899
91,133.02141000171468,55.961529254024654,-0.11923058508049311,25.963200849134825
92,130.34430983164737,55.65713849992882,-0.11314276999857631,24.93925536871522
93,130.053671508049,55.65716889237114,-0.11314337784742268,25.207114365649144
94,129.22649616824725,55.49389979251251,-0.10987799585025027,24.760513286694167
95,128.45072325030847,55.582172420656,-0.1116434484131199,25.404131776676138
96,131.25104945761086,56.54869649865981,-0.13097392997319623,30.010324779649995
97,130.53617240003015,55.5949751897266,-0.11189950379453184,26.06464360345993
98,133.48944168832227,56.27577387125843,-0.12551547742516855,29.472315205911375
99,133.51370487511915,56.37008713423013,-0.12740174268460258,30.256745745102997
100,134.04624015057482,56.394593508172846,-0.12789187016345682,30.736637323808772
